Timestamp,CUSIP,Bid1,BidSize1,Ask1,AskSize1,Bid2,BidSize2,Ask2,AskSize2,Bid3,BidSize3,Ask3,AskSize3,Bid4,BidSize4,Ask4,AskSize4,Bid5,BidSize5,Ask5,AskSize5
2023-12-24-20:29:31.334,9128283H1,99-041,1000000,99-045,1000000,99-037,2000000,99-047,2000000,99-035,3000000,99-051,3000000,99-033,4000000,99-053,4000000,99-031,5000000,99-055,5000000
2023-12-24-20:29:31.336,9128283H1,99-043,1000000,99-045,1000000,99-042,2000000,99-046,2000000,99-041,3000000,99-047,3000000,99-040,4000000,99-050,4000000,99-037,5000000,99-051,5000000
2023-12-24-20:29:31.341,9128283H1,99-043,1000000,99-047,1000000,99-041,2000000,99-051,2000000,99-037,3000000,99-053,3000000,99-035,4000000,99-055,4000000,99-033,5000000,99-057,5000000
2023-12-24-20:29:31.359,9128283H1,99-043,1000000,99-051,1000000,99-040,2000000,99-05+,2000000,99-035,3000000,99-057,3000000,99-032,4000000,99-062,4000000,99-027,5000000,99-065,5000000
2023-12-24-20:29:31.378,9128283H1,99-043,1000000,99-053,1000000,99-037,2000000,99-057,2000000,99-033,3000000,99-063,3000000,99-027,4000000,99-067,4000000,99-023,5000000,99-073,5000000
2023-12-24-20:29:31.393,9128283H1,99-045,1000000,99-053,1000000,99-042,2000000,99-056,2000000,99-037,3000000,99-061,3000000,99-03+,4000000,99-06+,4000000,99-031,5000000,99-067,5000000
2023-12-24-20:29:31.395,9128283H1,99-047,1000000,99-053,1000000,99-045,2000000,99-055,2000000,99-043,3000000,99-057,3000000,99-041,4000000,99-061,4000000,99-037,5000000,99-063,5000000
2023-12-24-20:29:31.411,9128283H1,99-051,1000000,99-053,1000000,99-050,2000000,99-05+,2000000,99-047,3000000,99-055,3000000,99-046,4000000,99-056,4000000,99-045,5000000,99-057,5000000
2023-12-24-20:29:31.430,9128283H1,99-051,1000000,99-055,1000000,99-047,2000000,99-057,2000000,99-045,3000000,99-061,3000000,99-043,4000000,99-063,4000000,99-041,5000000,99-065,5000000
2023-12-24-20:29:31.441,9128283H1,99-051,1000000,99-057,1000000,99-046,2000000,99-062,2000000,99-043,3000000,99-065,3000000,99-040,4000000,99-070,4000000,99-035,5000000,99-073,5000000
2023-12-24-20:29:31.444,9128283H1,99-051,1000000,99-061,1000000,99-045,2000000,99-065,2000000,99-041,3000000,99-071,3000000,99-035,4000000,99-075,4000000,99-031,5000000,99-081,5000000
2023-12-24-20:29:31.450,9128283H1,99-053,1000000,99-061,1000000,99-050,2000000,99-06+,2000000,99-045,3000000,99-067,3000000,99-042,4000000,99-072,4000000,99-037,5000000,99-075,5000000
2023-12-24-20:29:31.466,9128283H1,99-055,1000000,99-061,1000000,99-053,2000000,99-063,2000000,99-051,3000000,99-065,3000000,99-047,4000000,99-067,4000000,99-045,5000000,99-071,5000000
2023-12-24-20:29:31.485,9128283H1,99-057,1000000,99-061,1000000,99-056,2000000,99-062,2000000,99-055,3000000,99-063,3000000,99-05+,4000000,99-06+,4000000,99-053,5000000,99-065,5000000
2023-12-24-20:29:31.497,9128283H1,99-057,1000000,99-063,1000000,99-055,2000000,99-065,2000000,99-053,3000000,99-067,3000000,99-051,4000000,99-071,4000000,99-047,5000000,99-073,5000000
2023-12-24-20:29:30.973,9128283L2,98-317,1000000,99-001,1000000,98-316,2000000,99-002,2000000,98-315,3000000,99-003,3000000,98-31+,4000000,99-00+,4000000,98-313,5000000,99-005,5000000
2023-12-24-20:29:30.985,9128283L2,98-317,1000000,99-003,1000000,98-315,2000000,99-005,2000000,98-313,3000000,99-007,3000000,98-311,4000000,99-011,4000000,98-307,5000000,99-013,5000000
2023-12-24-20:29:30.989,9128283L2,98-317,1000000,99-005,1000000,98-31+,2000000,99-010,2000000,98-311,3000000,99-013,3000000,98-306,4000000,99-016,4000000,98-303,5000000,99-021,5000000
2023-12-24-20:29:31.005,9128283L2,98-317,1000000,99-007,1000000,98-313,2000000,99-013,2000000,98-307,3000000,99-017,3000000,98-303,4000000,99-023,4000000,98-297,5000000,99-027,5000000
2023-12-24-20:29:31.021,9128283L2,99-001,1000000,99-007,1000000,98-316,2000000,99-012,2000000,98-313,3000000,99-015,3000000,98-310,4000000,99-020,4000000,98-305,5000000,99-023,5000000
2023-12-24-20:29:31.027,9128283L2,99-003,1000000,99-007,1000000,99-001,2000000,99-011,2000000,98-317,3000000,99-013,3000000,98-315,4000000,99-015,4000000,98-313,5000000,99-017,5000000
2023-12-24-20:29:31.039,9128283L2,99-005,1000000,99-007,1000000,99-00+,2000000,99-010,2000000,99-003,3000000,99-011,3000000,99-002,4000000,99-012,4000000,99-001,5000000,99-013,5000000
2023-12-24-20:29:31.055,9128283L2,99-005,1000000,99-011,1000000,99-003,2000000,99-013,2000000,99-001,3000000,99-015,3000000,98-317,4000000,99-017,4000000,98-315,5000000,99-021,5000000
2023-12-24-20:29:31.069,9128283L2,99-005,1000000,99-013,1000000,99-002,2000000,99-016,2000000,98-317,3000000,99-021,3000000,98-31+,4000000,99-02+,4000000,98-311,5000000,99-027,5000000
2023-12-24-20:29:31.087,9128283L2,99-005,1000000,99-015,1000000,99-001,2000000,99-021,2000000,98-315,3000000,99-025,3000000,98-311,4000000,99-031,4000000,98-305,5000000,99-035,5000000
2023-12-24-20:29:31.103,9128283L2,99-007,1000000,99-015,1000000,99-00+,2000000,99-020,2000000,99-001,3000000,99-023,3000000,98-316,4000000,99-026,4000000,98-313,5000000,99-031,5000000
2023-12-24-20:29:31.112,9128283L2,99-011,1000000,99-015,1000000,99-007,2000000,99-017,2000000,99-005,3000000,99-021,3000000,99-003,4000000,99-023,4000000,99-001,5000000,99-025,5000000
2023-12-24-20:29:31.126,9128283L2,99-013,1000000,99-015,1000000,99-012,2000000,99-016,2000000,99-011,3000000,99-017,3000000,99-010,4000000,99-020,4000000,99-007,5000000,99-021,5000000
2023-12-24-20:29:31.131,9128283L2,99-013,1000000,99-017,1000000,99-011,2000000,99-021,2000000,99-007,3000000,99-023,3000000,99-005,4000000,99-025,4000000,99-003,5000000,99-027,5000000
2023-12-24-20:29:31.149,9128283L2,99-013,1000000,99-021,1000000,99-010,2000000,99-02+,2000000,99-005,3000000,99-027,3000000,99-002,4000000,99-032,4000000,98-317,5000000,99-035,5000000
2023-12-24-20:29:31.166,9128283L2,99-013,1000000,99-023,1000000,99-007,2000000,99-027,2000000,99-003,3000000,99-033,3000000,98-317,4000000,99-037,4000000,98-313,5000000,99-043,5000000
2023-12-24-20:29:31.167,9128283L2,99-015,1000000,99-023,1000000,99-012,2000000,99-026,2000000,99-007,3000000,99-031,3000000,99-00+,4000000,99-03+,4000000,99-001,5000000,99-037,5000000
2023-12-24-20:29:31.173,9128283L2,99-017,1000000,99-023,1000000,99-015,2000000,99-025,2000000,99-013,3000000,99-027,3000000,99-011,4000000,99-031,4000000,99-007,5000000,99-033,5000000
2023-12-24-20:29:31.185,9128283L2,99-021,1000000,99-023,1000000,99-020,2000000,99-02+,2000000,99-017,3000000,99-025,3000000,99-016,4000000,99-026,4000000,99-015,5000000,99-027,5000000
2023-12-24-20:29:31.190,9128283L2,99-021,1000000,99-025,1000000,99-017,2000000,99-027,2000000,99-015,3000000,99-031,3000000,99-013,4000000,99-033,4000000,99-011,5000000,99-035,5000000
2023-12-24-20:29:31.197,9128283L2,99-021,1000000,99-027,1000000,99-016,2000000,99-032,2000000,99-013,3000000,99-035,3000000,99-010,4000000,99-040,4000000,99-005,5000000,99-043,5000000
2023-12-24-20:29:31.211,9128283L2,99-021,1000000,99-031,1000000,99-015,2000000,99-035,2000000,99-011,3000000,99-041,3000000,99-005,4000000,99-045,4000000,99-001,5000000,99-051,5000000
2023-12-24-20:29:31.221,9128283L2,99-023,1000000,99-031,1000000,99-020,2000000,99-03+,2000000,99-015,3000000,99-037,3000000,99-012,4000000,99-042,4000000,99-007,5000000,99-045,5000000
2023-12-24-20:29:31.230,9128283L2,99-025,1000000,99-031,1000000,99-023,2000000,99-033,2000000,99-021,3000000,99-035,3000000,99-017,4000000,99-037,4000000,99-015,5000000,99-041,5000000
2023-12-24-20:29:31.234,9128283L2,99-027,1000000,99-031,1000000,99-026,2000000,99-032,2000000,99-025,3000000,99-033,3000000,99-02+,4000000,99-03+,4000000,99-023,5000000,99-035,5000000
2023-12-24-20:29:31.235,9128283L2,99-027,1000000,99-033,1000000,99-025,2000000,99-035,2000000,99-023,3000000,99-037,3000000,99-021,4000000,99-041,4000000,99-017,5000000,99-043,5000000
2023-12-24-20:29:31.241,9128283L2,99-027,1000000,99-035,1000000,99-02+,2000000,99-040,2000000,99-021,3000000,99-043,3000000,99-016,4000000,99-046,4000000,99-013,5000000,99-051,5000000
2023-12-24-20:29:31.254,9128283L2,99-027,1000000,99-037,1000000,99-023,2000000,99-043,2000000,99-017,3000000,99-047,3000000,99-013,4000000,99-053,4000000,99-007,5000000,99-057,5000000
2023-12-24-20:29:31.257,9128283L2,99-031,1000000,99-037,1000000,99-026,2000000,99-042,2000000,99-023,3000000,99-045,3000000,99-020,4000000,99-050,4000000,99-015,5000000,99-053,5000000
2023-12-24-20:29:31.263,9128283L2,99-033,1000000,99-037,1000000,99-031,2000000,99-041,2000000,99-027,3000000,99-043,3000000,99-025,4000000,99-045,4000000,99-023,5000000,99-047,5000000
2023-12-24-20:29:31.277,9128283L2,99-035,1000000,99-037,1000000,99-03+,2000000,99-040,2000000,99-033,3000000,99-041,3000000,99-032,4000000,99-042,4000000,99-031,5000000,99-043,5000000
2023-12-24-20:29:31.292,9128283L2,99-035,1000000,99-041,1000000,99-033,2000000,99-043,2000000,99-031,3000000,99-045,3000000,99-027,4000000,99-047,4000000,99-025,5000000,99-051,5000000
2023-12-24-20:29:31.310,9128283L2,99-035,1000000,99-043,1000000,99-032,2000000,99-046,2000000,99-027,3000000,99-051,3000000,99-02+,4000000,99-05+,4000000,99-021,5000000,99-057,5000000
2023-12-24-20:29:31.322,9128283L2,99-035,1000000,99-045,1000000,99-031,2000000,99-051,2000000,99-025,3000000,99-055,3000000,99-021,4000000,99-061,4000000,99-015,5000000,99-065,5000000
2023-12-24-20:29:31.336,9128283L2,99-037,1000000,99-045,1000000,99-03+,2000000,99-050,2000000,99-031,3000000,99-053,3000000,99-026,4000000,99-056,4000000,99-023,5000000,99-061,5000000
2023-12-24-20:29:31.343,9128283L2,99-041,1000000,99-045,1000000,99-037,2000000,99-047,2000000,99-035,3000000,99-051,3000000,99-033,4000000,99-053,4000000,99-031,5000000,99-055,5000000
2023-12-24-20:29:31.355,9128283L2,99-043,1000000,99-045,1000000,99-042,2000000,99-046,2000000,99-041,3000000,99-047,3000000,99-040,4000000,99-050,4000000,99-037,5000000,99-051,5000000
2023-12-24-20:29:31.374,9128283L2,99-043,1000000,99-047,1000000,99-041,2000000,99-051,2000000,99-037,3000000,99-053,3000000,99-035,4000000,99-055,4000000,99-033,5000000,99-057,5000000
2023-12-24-20:29:31.384,9128283L2,99-043,1000000,99-051,1000000,99-040,2000000,99-05+,2000000,99-035,3000000,99-057,3000000,99-032,4000000,99-062,4000000,99-027,5000000,99-065,5000000
2023-12-24-20:29:31.401,9128283L2,99-043,1000000,99-053,1000000,99-037,2000000,99-057,2000000,99-033,3000000,99-063,3000000,99-027,4000000,99-067,4000000,99-023,5000000,99-073,5000000
2023-12-24-20:29:31.406,9128283L2,99-045,1000000,99-053,1000000,99-042,2000000,99-056,2000000,99-037,3000000,99-061,3000000,99-03+,4000000,99-06+,4000000,99-031,5000000,99-067,5000000
2023-12-24-20:29:31.407,9128283L2,99-047,1000000,99-053,1000000,99-045,2000000,99-055,2000000,99-043,3000000,99-057,3000000,99-041,4000000,99-061,4000000,99-037,5000000,99-063,5000000
2023-12-24-20:29:31.408,9128283L2,99-051,1000000,99-053,1000000,99-050,2000000,99-05+,2000000,99-047,3000000,99-055,3000000,99-046,4000000,99-056,4000000,99-045,5000000,99-057,5000000
2023-12-24-20:29:31.420,9128283L2,99-051,1000000,99-055,1000000,99-047,2000000,99-057,2000000,99-045,3000000,99-061,3000000,99-043,4000000,99-063,4000000,99-041,5000000,99-065,5000000
2023-12-24-20:29:31.422,9128283L2,99-051,1000000,99-057,1000000,99-046,2000000,99-062,2000000,99-043,3000000,99-065,3000000,99-040,4000000,99-070,4000000,99-035,5000000,99-073,5000000
2023-12-24-20:29:31.428,9128283L2,99-051,1000000,99-061,1000000,99-045,2000000,99-065,2000000,99-041,3000000,99-071,3000000,99-035,4000000,99-075,4000000,99-031,5000000,99-081,5000000
2023-12-24-20:29:31.439,9128283L2,99-053,1000000,99-061,1000000,99-050,2000000,99-06+,2000000,99-045,3000000,99-067,3000000,99-042,4000000,99-072,4000000,99-037,5000000,99-075,5000000
2023-12-24-20:29:31.452,9128283L2,99-055,1000000,99-061,1000000,99-053,2000000,99-063,2000000,99-051,3000000,99-065,3000000,99-047,4000000,99-067,4000000,99-045,5000000,99-071,5000000
2023-12-24-20:29:31.471,9128283L2,99-057,1000000,99-061,1000000,99-056,2000000,99-062,2000000,99-055,3000000,99-063,3000000,99-05+,4000000,99-06+,4000000,99-053,5000000,99-065,5000000
2023-12-24-20:29:31.483,9128283L2,99-057,1000000,99-063,1000000,99-055,2000000,99-065,2000000,99-053,3000000,99-067,3000000,99-051,4000000,99-071,4000000,99-047,5000000,99-073,5000000
2023-12-24-20:29:30.963,912828M80,98-317,1000000,99-001,1000000,98-316,2000000,99-002,2000000,98-315,3000000,99-003,3000000,98-31+,4000000,99-00+,4000000,98-313,5000000,99-005,5000000
2023-12-24-20:29:30.983,912828M80,98-317,1000000,99-003,1000000,98-315,2000000,99-005,2000000,98-313,3000000,99-007,3000000,98-311,4000000,99-011,4000000,98-307,5000000,99-013,5000000
2023-12-24-20:29:31.002,912828M80,98-317,1000000,99-005,1000000,98-31+,2000000,99-010,2000000,98-311,3000000,99-013,3000000,98-306,4000000,99-016,4000000,98-303,5000000,99-021,5000000
2023-12-24-20:29:31.009,912828M80,98-317,1000000,99-007,1000000,98-313,2000000,99-013,2000000,98-307,3000000,99-017,3000000,98-303,4000000,99-023,4000000,98-297,5000000,99-027,5000000
2023-12-24-20:29:31.018,912828M80,99-001,1000000,99-007,1000000,98-316,2000000,99-012,2000000,98-313,3000000,99-015,3000000,98-310,4000000,99-020,4000000,98-305,5000000,99-023,5000000
2023-12-24-20:29:31.023,912828M80,99-003,1000000,99-007,1000000,99-001,2000000,99-011,2000000,98-317,3000000,99-013,3000000,98-315,4000000,99-015,4000000,98-313,5000000,99-017,5000000
2023-12-24-20:29:31.043,912828M80,99-005,1000000,99-007,1000000,99-00+,2000000,99-010,2000000,99-003,3000000,99-011,3000000,99-002,4000000,99-012,4000000,99-001,5000000,99-013,5000000
2023-12-24-20:29:31.046,912828M80,99-005,1000000,99-011,1000000,99-003,2000000,99-013,2000000,99-001,3000000,99-015,3000000,98-317,4000000,99-017,4000000,98-315,5000000,99-021,5000000
2023-12-24-20:29:31.064,912828M80,99-005,1000000,99-013,1000000,99-002,2000000,99-016,2000000,98-317,3000000,99-021,3000000,98-31+,4000000,99-02+,4000000,98-311,5000000,99-027,5000000
2023-12-24-20:29:31.076,912828M80,99-005,1000000,99-015,1000000,99-001,2000000,99-021,2000000,98-315,3000000,99-025,3000000,98-311,4000000,99-031,4000000,98-305,5000000,99-035,5000000
2023-12-24-20:29:31.096,912828M80,99-007,1000000,99-015,1000000,99-00+,2000000,99-020,2000000,99-001,3000000,99-023,3000000,98-316,4000000,99-026,4000000,98-313,5000000,99-031,5000000
2023-12-24-20:29:31.104,912828M80,99-011,1000000,99-015,1000000,99-007,2000000,99-017,2000000,99-005,3000000,99-021,3000000,99-003,4000000,99-023,4000000,99-001,5000000,99-025,5000000
2023-12-24-20:29:31.116,912828M80,99-013,1000000,99-015,1000000,99-012,2000000,99-016,2000000,99-011,3000000,99-017,3000000,99-010,4000000,99-020,4000000,99-007,5000000,99-021,5000000
2023-12-24-20:29:31.122,912828M80,99-013,1000000,99-017,1000000,99-011,2000000,99-021,2000000,99-007,3000000,99-023,3000000,99-005,4000000,99-025,4000000,99-003,5000000,99-027,5000000
2023-12-24-20:29:31.140,912828M80,99-013,1000000,99-021,1000000,99-010,2000000,99-02+,2000000,99-005,3000000,99-027,3000000,99-002,4000000,99-032,4000000,98-317,5000000,99-035,5000000
2023-12-24-20:29:31.154,912828M80,99-013,1000000,99-023,1000000,99-007,2000000,99-027,2000000,99-003,3000000,99-033,3000000,98-317,4000000,99-037,4000000,98-313,5000000,99-043,5000000
2023-12-24-20:29:31.165,912828M80,99-015,1000000,99-023,1000000,99-012,2000000,99-026,2000000,99-007,3000000,99-031,3000000,99-00+,4000000,99-03+,4000000,99-001,5000000,99-037,5000000
2023-12-24-20:29:31.177,912828M80,99-017,1000000,99-023,1000000,99-015,2000000,99-025,2000000,99-013,3000000,99-027,3000000,99-011,4000000,99-031,4000000,99-007,5000000,99-033,5000000
2023-12-24-20:29:31.195,912828M80,99-021,1000000,99-023,1000000,99-020,2000000,99-02+,2000000,99-017,3000000,99-025,3000000,99-016,4000000,99-026,4000000,99-015,5000000,99-027,5000000
2023-12-24-20:29:31.208,912828M80,99-021,1000000,99-025,1000000,99-017,2000000,99-027,2000000,99-015,3000000,99-031,3000000,99-013,4000000,99-033,4000000,99-011,5000000,99-035,5000000
2023-12-24-20:29:31.225,912828M80,99-021,1000000,99-027,1000000,99-016,2000000,99-032,2000000,99-013,3000000,99-035,3000000,99-010,4000000,99-040,4000000,99-005,5000000,99-043,5000000
2023-12-24-20:29:31.234,912828M80,99-021,1000000,99-031,1000000,99-015,2000000,99-035,2000000,99-011,3000000,99-041,3000000,99-005,4000000,99-045,4000000,99-001,5000000,99-051,5000000
2023-12-24-20:29:31.236,912828M80,99-023,1000000,99-031,1000000,99-020,2000000,99-03+,2000000,99-015,3000000,99-037,3000000,99-012,4000000,99-042,4000000,99-007,5000000,99-045,5000000
2023-12-24-20:29:31.248,912828M80,99-025,1000000,99-031,1000000,99-023,2000000,99-033,2000000,99-021,3000000,99-035,3000000,99-017,4000000,99-037,4000000,99-015,5000000,99-041,5000000
2023-12-24-20:29:31.266,912828M80,99-027,1000000,99-031,1000000,99-026,2000000,99-032,2000000,99-025,3000000,99-033,3000000,99-02+,4000000,99-03+,4000000,99-023,5000000,99-035,5000000
2023-12-24-20:29:31.268,912828M80,99-027,1000000,99-033,1000000,99-025,2000000,99-035,2000000,99-023,3000000,99-037,3000000,99-021,4000000,99-041,4000000,99-017,5000000,99-043,5000000
2023-12-24-20:29:31.272,912828M80,99-027,1000000,99-035,1000000,99-02+,2000000,99-040,2000000,99-021,3000000,99-043,3000000,99-016,4000000,99-046,4000000,99-013,5000000,99-051,5000000
2023-12-24-20:29:31.290,912828M80,99-027,1000000,99-037,1000000,99-023,2000000,99-043,2000000,99-017,3000000,99-047,3000000,99-013,4000000,99-053,4000000,99-007,5000000,99-057,5000000
2023-12-24-20:29:31.293,912828M80,99-031,1000000,99-037,1000000,99-026,2000000,99-042,2000000,99-023,3000000,99-045,3000000,99-020,4000000,99-050,4000000,99-015,5000000,99-053,5000000
2023-12-24-20:29:31.310,912828M80,99-033,1000000,99-037,1000000,99-031,2000000,99-041,2000000,99-027,3000000,99-043,3000000,99-025,4000000,99-045,4000000,99-023,5000000,99-047,5000000
2023-12-24-20:29:31.316,912828M80,99-035,1000000,99-037,1000000,99-03+,2000000,99-040,2000000,99-033,3000000,99-041,3000000,99-032,4000000,99-042,4000000,99-031,5000000,99-043,5000000
2023-12-24-20:29:31.320,912828M80,99-035,1000000,99-041,1000000,99-033,2000000,99-043,2000000,99-031,3000000,99-045,3000000,99-027,4000000,99-047,4000000,99-025,5000000,99-051,5000000
2023-12-24-20:29:31.332,912828M80,99-035,1000000,99-043,1000000,99-032,2000000,99-046,2000000,99-027,3000000,99-051,3000000,99-02+,4000000,99-05+,4000000,99-021,5000000,99-057,5000000
2023-12-24-20:29:31.340,912828M80,99-035,1000000,99-045,1000000,99-031,2000000,99-051,2000000,99-025,3000000,99-055,3000000,99-021,4000000,99-061,4000000,99-015,5000000,99-065,5000000
2023-12-24-20:29:31.355,912828M80,99-037,1000000,99-045,1000000,99-03+,2000000,99-050,2000000,99-031,3000000,99-053,3000000,99-026,4000000,99-056,4000000,99-023,5000000,99-061,5000000
