Timestamp,CUSIP,Bid,Ask
2023-12-24-20:29:30.973,9128283L2,98-316,99-001,0.010047
2023-12-24-20:29:30.985,9128283L2,98-317,99-002,0.00847118
2023-12-24-20:29:30.989,9128283L2,99-000,99-003,0.0127396
2023-12-24-20:29:31.005,9128283L2,99-001,99-00+,0.0143606
2023-12-24-20:29:31.021,9128283L2,99-002,99-005,0.0148917
2023-12-24-20:29:31.027,9128283L2,99-003,99-006,0.00900077
2023-12-24-20:29:31.039,9128283L2,99-00+,99-007,0.0140953
2023-12-24-20:29:31.055,9128283L2,99-005,99-010,0.010071
2023-12-24-20:29:31.069,9128283L2,99-006,99-011,0.0130361
2023-12-24-20:29:31.087,9128283L2,99-007,99-012,0.00978665
2023-12-24-20:29:31.103,9128283L2,99-010,99-013,0.0153588
2023-12-24-20:29:31.112,9128283L2,99-011,99-01+,0.0134372
2023-12-24-20:29:31.126,9128283L2,99-012,99-015,0.0142006
2023-12-24-20:29:31.131,9128283L2,99-013,99-016,0.0135514
2023-12-24-20:29:31.149,9128283L2,99-01+,99-017,0.0121736
2023-12-24-20:29:31.166,9128283L2,99-015,99-020,0.0096259
2023-12-24-20:29:31.167,9128283L2,99-016,99-021,0.0124652
2023-12-24-20:29:31.173,9128283L2,99-017,99-022,0.0102476
2023-12-24-20:29:31.185,9128283L2,99-020,99-023,0.00864378
2023-12-24-20:29:31.190,9128283L2,99-021,99-02+,0.011261
2023-12-24-20:29:31.197,9128283L2,99-022,99-025,0.0103726
2023-12-24-20:29:31.211,9128283L2,99-023,99-026,0.00797164
2023-12-24-20:29:31.221,9128283L2,99-02+,99-027,0.0142236
2023-12-24-20:29:31.230,9128283L2,99-025,99-030,0.0107421
2023-12-24-20:29:31.234,9128283L2,99-026,99-031,0.0144863
2023-12-24-20:29:31.235,9128283L2,99-027,99-032,0.0155129
2023-12-24-20:29:31.241,9128283L2,99-030,99-033,0.00882044
2023-12-24-20:29:31.254,9128283L2,99-031,99-03+,0.00936965
2023-12-24-20:29:31.257,9128283L2,99-032,99-035,0.00844596
2023-12-24-20:29:31.263,9128283L2,99-033,99-036,0.0092957
2023-12-24-20:29:31.277,9128283L2,99-03+,99-037,0.0145121
2023-12-24-20:29:31.292,9128283L2,99-035,99-040,0.00995684
2023-12-24-20:29:31.310,9128283L2,99-036,99-041,0.00944173
2023-12-24-20:29:31.322,9128283L2,99-037,99-042,0.0113409
2023-12-24-20:29:31.336,9128283L2,99-040,99-043,0.0126805
2023-12-24-20:29:31.343,9128283L2,99-041,99-04+,0.0119665
2023-12-24-20:29:31.355,9128283L2,99-042,99-045,0.00883981
2023-12-24-20:29:31.374,9128283L2,99-043,99-046,0.0134409
2023-12-24-20:29:31.384,9128283L2,99-04+,99-047,0.0123044
2023-12-24-20:29:31.401,9128283L2,99-045,99-050,0.00845411
2023-12-24-20:29:31.406,9128283L2,99-046,99-051,0.00781824
2023-12-24-20:29:31.407,9128283L2,99-047,99-052,0.0115403
2023-12-24-20:29:31.408,9128283L2,99-050,99-053,0.0103411
2023-12-24-20:29:31.420,9128283L2,99-051,99-05+,0.0143906
2023-12-24-20:29:31.422,9128283L2,99-052,99-055,0.0128377
2023-12-24-20:29:31.428,9128283L2,99-053,99-056,0.0088531
2023-12-24-20:29:31.439,9128283L2,99-05+,99-057,0.00999887
2023-12-24-20:29:31.452,9128283L2,99-055,99-060,0.0130902
2023-12-24-20:29:31.471,9128283L2,99-056,99-061,0.00895403
2023-12-24-20:29:31.483,9128283L2,99-057,99-062,0.0149345
2023-12-24-20:29:30.963,912828M80,98-316,99-001,0.0104865
2023-12-24-20:29:30.983,912828M80,98-317,99-002,0.00825563
2023-12-24-20:29:31.002,912828M80,99-000,99-003,0.0130977
2023-12-24-20:29:31.009,912828M80,99-001,99-00+,0.0123058
2023-12-24-20:29:31.018,912828M80,99-002,99-005,0.0101228
2023-12-24-20:29:31.023,912828M80,99-003,99-006,0.0131442
2023-12-24-20:29:31.043,912828M80,99-00+,99-007,0.0119907
2023-12-24-20:29:31.046,912828M80,99-005,99-010,0.0146381
2023-12-24-20:29:31.064,912828M80,99-006,99-011,0.00896644
2023-12-24-20:29:31.076,912828M80,99-007,99-012,0.00893933
2023-12-24-20:29:31.096,912828M80,99-010,99-013,0.00914026
2023-12-24-20:29:31.104,912828M80,99-011,99-01+,0.00957704
2023-12-24-20:29:31.116,912828M80,99-012,99-015,0.0119921
2023-12-24-20:29:31.122,912828M80,99-013,99-016,0.0139228
2023-12-24-20:29:31.140,912828M80,99-01+,99-017,0.00979822
2023-12-24-20:29:31.154,912828M80,99-015,99-020,0.0129811
2023-12-24-20:29:31.165,912828M80,99-016,99-021,0.0123746
2023-12-24-20:29:31.177,912828M80,99-017,99-022,0.00914432
2023-12-24-20:29:31.195,912828M80,99-020,99-023,0.0131859
2023-12-24-20:29:31.208,912828M80,99-021,99-02+,0.0110246
2023-12-24-20:29:31.225,912828M80,99-022,99-025,0.0140344
2023-12-24-20:29:31.234,912828M80,99-023,99-026,0.00946312
2023-12-24-20:29:31.236,912828M80,99-02+,99-027,0.00916171
2023-12-24-20:29:31.248,912828M80,99-025,99-030,0.0130236
2023-12-24-20:29:31.266,912828M80,99-026,99-031,0.0125468
2023-12-24-20:29:31.268,912828M80,99-027,99-032,0.0150689
2023-12-24-20:29:31.272,912828M80,99-030,99-033,0.00861387
2023-12-24-20:29:31.290,912828M80,99-031,99-03+,0.0103286
2023-12-24-20:29:31.293,912828M80,99-032,99-035,0.00803304
2023-12-24-20:29:31.310,912828M80,99-033,99-036,0.0126011
2023-12-24-20:29:31.316,912828M80,99-03+,99-037,0.00782814
2023-12-24-20:29:31.320,912828M80,99-035,99-040,0.0118365
2023-12-24-20:29:31.332,912828M80,99-036,99-041,0.0130322
2023-12-24-20:29:31.340,912828M80,99-037,99-042,0.0114629
2023-12-24-20:29:31.355,912828M80,99-040,99-043,0.00846041
2023-12-24-20:29:31.367,912828M80,99-041,99-04+,0.0104915
2023-12-24-20:29:31.386,912828M80,99-042,99-045,0.0104572
2023-12-24-20:29:31.397,912828M80,99-043,99-046,0.00801171
2023-12-24-20:29:31.405,912828M80,99-04+,99-047,0.00947913
2023-12-24-20:29:31.416,912828M80,99-045,99-050,0.0121579
2023-12-24-20:29:31.421,912828M80,99-046,99-051,0.0112529
2023-12-24-20:29:31.430,912828M80,99-047,99-052,0.00944999
2023-12-24-20:29:31.441,912828M80,99-050,99-053,0.0140464
2023-12-24-20:29:31.443,912828M80,99-051,99-05+,0.012596
2023-12-24-20:29:31.461,912828M80,99-052,99-055,0.0109279
2023-12-24-20:29:31.464,912828M80,99-053,99-056,0.0116246
2023-12-24-20:29:31.482,912828M80,99-05+,99-057,0.0102041
2023-12-24-20:29:31.497,912828M80,99-055,99-060,0.0145845
2023-12-24-20:29:31.503,912828M80,99-056,99-061,0.0136025
2023-12-24-20:29:31.510,912828M80,99-057,99-062,0.0126941
2023-12-24-20:29:30.984,9128283J7,98-316,99-001,0.0154819
2023-12-24-20:29:30.988,9128283J7,98-317,99-002,0.0128825
2023-12-24-20:29:31.000,9128283J7,99-000,99-003,0.00935823
2023-12-24-20:29:31.008,9128283J7,99-001,99-00+,0.01058
2023-12-24-20:29:31.019,9128283J7,99-002,99-005,0.0153518
2023-12-24-20:29:31.022,9128283J7,99-003,99-006,0.0133427
2023-12-24-20:29:31.028,9128283J7,99-00+,99-007,0.0115382
2023-12-24-20:29:31.043,9128283J7,99-005,99-010,0.0097388
2023-12-24-20:29:31.061,9128283J7,99-006,99-011,0.0084371
2023-12-24-20:29:31.063,9128283J7,99-007,99-012,0.00942696
2023-12-24-20:29:31.067,9128283J7,99-010,99-013,0.0148993
2023-12-24-20:29:31.071,9128283J7,99-011,99-01+,0.0115531
2023-12-24-20:29:31.091,9128283J7,99-012,99-015,0.01014
2023-12-24-20:29:31.099,9128283J7,99-013,99-016,0.0133333
2023-12-24-20:29:31.102,9128283J7,99-01+,99-017,0.0153382
2023-12-24-20:29:31.118,9128283J7,99-015,99-020,0.0148854
2023-12-24-20:29:31.132,9128283J7,99-016,99-021,0.0129865
2023-12-24-20:29:31.141,9128283J7,99-017,99-022,0.0143378
2023-12-24-20:29:31.149,9128283J7,99-020,99-023,0.0118969
2023-12-24-20:29:31.158,9128283J7,99-021,99-02+,0.0111396
2023-12-24-20:29:31.176,9128283J7,99-022,99-025,0.0137713
2023-12-24-20:29:31.181,9128283J7,99-023,99-026,0.0118831
2023-12-24-20:29:31.195,9128283J7,99-02+,99-027,0.0100983
2023-12-24-20:29:31.204,9128283J7,99-025,99-030,0.0098158
2023-12-24-20:29:31.216,9128283J7,99-026,99-031,0.00958744
2023-12-24-20:29:31.231,9128283J7,99-027,99-032,0.0120047
2023-12-24-20:29:31.250,9128283J7,99-030,99-033,0.00803947
2023-12-24-20:29:31.251,9128283J7,99-031,99-03+,0.0105061
2023-12-24-20:29:31.261,9128283J7,99-032,99-035,0.0134309
2023-12-24-20:29:31.279,9128283J7,99-033,99-036,0.0151163
2023-12-24-20:29:31.288,9128283J7,99-03+,99-037,0.0120931
2023-12-24-20:29:31.293,9128283J7,99-035,99-040,0.0106797
2023-12-24-20:29:31.308,9128283J7,99-036,99-041,0.0142483
2023-12-24-20:29:31.327,9128283J7,99-037,99-042,0.0141025
2023-12-24-20:29:31.347,9128283J7,99-040,99-043,0.014747
2023-12-24-20:29:31.358,9128283J7,99-041,99-04+,0.00811082
2023-12-24-20:29:31.377,9128283J7,99-042,99-045,0.00809647
2023-12-24-20:29:31.380,9128283J7,99-043,99-046,0.014835
2023-12-24-20:29:31.390,9128283J7,99-04+,99-047,0.0115304
2023-12-24-20:29:31.402,9128283J7,99-045,99-050,0.015429
2023-12-24-20:29:31.404,9128283J7,99-046,99-051,0.0112858
2023-12-24-20:29:31.406,9128283J7,99-047,99-052,0.0129813
2023-12-24-20:29:31.411,9128283J7,99-050,99-053,0.0102881
2023-12-24-20:29:31.427,9128283J7,99-051,99-05+,0.0119069
2023-12-24-20:29:31.428,9128283J7,99-052,99-055,0.0132474
2023-12-24-20:29:31.443,9128283J7,99-053,99-056,0.00919299
2023-12-24-20:29:31.453,9128283J7,99-05+,99-057,0.0133734
2023-12-24-20:29:31.461,9128283J7,99-055,99-060,0.0152975
2023-12-24-20:29:31.469,9128283J7,99-056,99-061,0.0139634
2023-12-24-20:29:31.478,9128283J7,99-057,99-062,0.00908444
2023-12-24-20:29:30.982,9128283F5,98-316,99-001,0.0085296
2023-12-24-20:29:30.987,9128283F5,98-317,99-002,0.01442
2023-12-24-20:29:30.988,9128283F5,99-000,99-003,0.0110858
2023-12-24-20:29:31.002,9128283F5,99-001,99-00+,0.0151523
2023-12-24-20:29:31.013,9128283F5,99-002,99-005,0.0142551
2023-12-24-20:29:31.018,9128283F5,99-003,99-006,0.0127679
2023-12-24-20:29:31.028,9128283F5,99-00+,99-007,0.00897667
2023-12-24-20:29:31.045,9128283F5,99-005,99-010,0.0133033
2023-12-24-20:29:31.063,9128283F5,99-006,99-011,0.0104486
2023-12-24-20:29:31.075,9128283F5,99-007,99-012,0.0103372
2023-12-24-20:29:31.093,9128283F5,99-010,99-013,0.0119671
2023-12-24-20:29:31.111,9128283F5,99-011,99-01+,0.0106302
2023-12-24-20:29:31.116,9128283F5,99-012,99-015,0.00949288
2023-12-24-20:29:31.136,9128283F5,99-013,99-016,0.00878378
2023-12-24-20:29:31.149,9128283F5,99-01+,99-017,0.0083267
2023-12-24-20:29:31.156,9128283F5,99-015,99-020,0.00972398
2023-12-24-20:29:31.168,9128283F5,99-016,99-021,0.00946293
2023-12-24-20:29:31.177,9128283F5,99-017,99-022,0.0138353
2023-12-24-20:29:31.192,9128283F5,99-020,99-023,0.00828705
2023-12-24-20:29:31.205,9128283F5,99-021,99-02+,0.0119346
2023-12-24-20:29:31.209,9128283F5,99-022,99-025,0.0142664
2023-12-24-20:29:31.210,9128283F5,99-023,99-026,0.0113656
2023-12-24-20:29:31.216,9128283F5,99-02+,99-027,0.0106793
2023-12-24-20:29:31.226,9128283F5,99-025,99-030,0.012686
2023-12-24-20:29:31.237,9128283F5,99-026,99-031,0.00815823
2023-12-24-20:29:31.247,9128283F5,99-027,99-032,0.0145862
2023-12-24-20:29:31.264,9128283F5,99-030,99-033,0.00832177
2023-12-24-20:29:31.276,9128283F5,99-031,99-03+,0.0139273
2023-12-24-20:29:31.295,9128283F5,99-032,99-035,0.0119333
2023-12-24-20:29:31.312,9128283F5,99-033,99-036,0.0115979
2023-12-24-20:29:31.320,9128283F5,99-03+,99-037,0.00975057
2023-12-24-20:29:31.331,9128283F5,99-035,99-040,0.0137786
2023-12-24-20:29:31.333,9128283F5,99-036,99-041,0.010748
2023-12-24-20:29:31.334,9128283F5,99-037,99-042,0.0141337
2023-12-24-20:29:31.337,9128283F5,99-040,99-043,0.0126819
2023-12-24-20:29:31.349,9128283F5,99-041,99-04+,0.0104919
2023-12-24-20:29:31.365,9128283F5,99-042,99-045,0.0136218
2023-12-24-20:29:31.367,9128283F5,99-043,99-046,0.00878346
2023-12-24-20:29:31.380,9128283F5,99-04+,99-047,0.0109952
2023-12-24-20:29:31.398,9128283F5,99-045,99-050,0.0129199
2023-12-24-20:29:31.405,9128283F5,99-046,99-051,0.0101198
2023-12-24-20:29:31.415,9128283F5,99-047,99-052,0.0145791
2023-12-24-20:29:31.420,9128283F5,99-050,99-053,0.0150817
2023-12-24-20:29:31.424,9128283F5,99-051,99-05+,0.0116237
2023-12-24-20:29:31.440,9128283F5,99-052,99-055,0.0146686
2023-12-24-20:29:31.458,9128283F5,99-053,99-056,0.0107792
2023-12-24-20:29:31.463,9128283F5,99-05+,99-057,0.013208
2023-12-24-20:29:31.481,9128283F5,99-055,99-060,0.0121073
2023-12-24-20:29:31.501,9128283F5,99-056,99-061,0.00905828
2023-12-24-20:29:31.512,9128283F5,99-057,99-062,0.0104499
2023-12-24-20:29:30.971,912810TW8,98-316,99-001,0.0135825
2023-12-24-20:29:30.982,912810TW8,98-317,99-002,0.00976201
2023-12-24-20:29:31.001,912810TW8,99-000,99-003,0.0149371
2023-12-24-20:29:31.013,912810TW8,99-001,99-00+,0.0078287
2023-12-24-20:29:31.020,912810TW8,99-002,99-005,0.014216
2023-12-24-20:29:31.037,912810TW8,99-003,99-006,0.00834226
2023-12-24-20:29:31.042,912810TW8,99-00+,99-007,0.0143836
2023-12-24-20:29:31.053,912810TW8,99-005,99-010,0.0106821
2023-12-24-20:29:31.056,912810TW8,99-006,99-011,0.014836
2023-12-24-20:29:31.059,912810TW8,99-007,99-012,0.0150701
2023-12-24-20:29:31.063,912810TW8,99-010,99-013,0.0142643
2023-12-24-20:29:31.082,912810TW8,99-011,99-01+,0.0111578
2023-12-24-20:29:31.087,912810TW8,99-012,99-015,0.0088935
2023-12-24-20:29:31.099,912810TW8,99-013,99-016,0.00882607
2023-12-24-20:29:31.109,912810TW8,99-01+,99-017,0.00903013
2023-12-24-20:29:31.123,912810TW8,99-015,99-020,0.0138631
2023-12-24-20:29:31.143,912810TW8,99-016,99-021,0.00999468
2023-12-24-20:29:31.160,912810TW8,99-017,99-022,0.01455
2023-12-24-20:29:31.178,912810TW8,99-020,99-023,0.0114181
2023-12-24-20:29:31.187,912810TW8,99-021,99-02+,0.0126921
2023-12-24-20:29:31.196,912810TW8,99-022,99-025,0.0132802
2023-12-24-20:29:31.205,912810TW8,99-023,99-026,0.0125824
2023-12-24-20:29:31.221,912810TW8,99-02+,99-027,0.00897208
2023-12-24-20:29:31.232,912810TW8,99-025,99-030,0.0153371
2023-12-24-20:29:31.250,912810TW8,99-026,99-031,0.0116318
2023-12-24-20:29:31.255,912810TW8,99-027,99-032,0.00952622
2023-12-24-20:29:31.265,912810TW8,99-030,99-033,0.0150628
2023-12-24-20:29:31.284,912810TW8,99-031,99-03+,0.0120324
2023-12-24-20:29:31.298,912810TW8,99-032,99-035,0.00920306
2023-12-24-20:29:31.303,912810TW8,99-033,99-036,0.0142283
2023-12-24-20:29:31.322,912810TW8,99-03+,99-037,0.011097
2023-12-24-20:29:31.334,912810TW8,99-035,99-040,0.0129802
2023-12-24-20:29:31.337,912810TW8,99-036,99-041,0.012621
2023-12-24-20:29:31.347,912810TW8,99-037,99-042,0.0144319
2023-12-24-20:29:31.351,912810TW8,99-040,99-043,0.00851305
2023-12-24-20:29:31.368,912810TW8,99-041,99-04+,0.013932
2023-12-24-20:29:31.387,912810TW8,99-042,99-045,0.011417
2023-12-24-20:29:31.402,912810TW8,99-043,99-046,0.0109994
2023-12-24-20:29:31.416,912810TW8,99-04+,99-047,0.0109983
2023-12-24-20:29:31.421,912810TW8,99-045,99-050,0.0131994
2023-12-24-20:29:31.425,912810TW8,99-046,99-051,0.0122214
2023-12-24-20:29:31.442,912810TW8,99-047,99-052,0.00844041
2023-12-24-20:29:31.444,912810TW8,99-050,99-053,0.0140495
2023-12-24-20:29:31.458,912810TW8,99-051,99-05+,0.0106935
2023-12-24-20:29:31.478,912810TW8,99-052,99-055,0.0143356
2023-12-24-20:29:31.496,912810TW8,99-053,99-056,0.0122504
2023-12-24-20:29:31.513,912810TW8,99-05+,99-057,0.0149818
2023-12-24-20:29:31.527,912810TW8,99-055,99-060,0.00821628
2023-12-24-20:29:31.546,912810TW8,99-056,99-061,0.00887724
2023-12-24-20:29:31.566,912810TW8,99-057,99-062,0.00892844
2023-12-24-20:29:30.974,912810RZ3,98-316,99-001,0.0103425
2023-12-24-20:29:30.977,912810RZ3,98-317,99-002,0.0112913
2023-12-24-20:29:30.984,912810RZ3,99-000,99-003,0.0105979
2023-12-24-20:29:30.990,912810RZ3,99-001,99-00+,0.0112062
2023-12-24-20:29:30.997,912810RZ3,99-002,99-005,0.0132843
2023-12-24-20:29:31.010,912810RZ3,99-003,99-006,0.00933669
2023-12-24-20:29:31.018,912810RZ3,99-00+,99-007,0.0115328
2023-12-24-20:29:31.033,912810RZ3,99-005,99-010,0.0124298
2023-12-24-20:29:31.039,912810RZ3,99-006,99-011,0.0142487
2023-12-24-20:29:31.055,912810RZ3,99-007,99-012,0.00974682
2023-12-24-20:29:31.062,912810RZ3,99-010,99-013,0.00898637
2023-12-24-20:29:31.079,912810RZ3,99-011,99-01+,0.0089994
2023-12-24-20:29:31.097,912810RZ3,99-012,99-015,0.00847517
2023-12-24-20:29:31.109,912810RZ3,99-013,99-016,0.0114959
2023-12-24-20:29:31.121,912810RZ3,99-01+,99-017,0.0115518
2023-12-24-20:29:31.130,912810RZ3,99-015,99-020,0.00871387
2023-12-24-20:29:31.149,912810RZ3,99-016,99-021,0.00797008
2023-12-24-20:29:31.151,912810RZ3,99-017,99-022,0.0131034
2023-12-24-20:29:31.159,912810RZ3,99-020,99-023,0.0109011
2023-12-24-20:29:31.178,912810RZ3,99-021,99-02+,0.015037
2023-12-24-20:29:31.190,912810RZ3,99-022,99-025,0.0127483
2023-12-24-20:29:31.192,912810RZ3,99-023,99-026,0.0118137
2023-12-24-20:29:31.207,912810RZ3,99-02+,99-027,0.00960629
2023-12-24-20:29:31.224,912810RZ3,99-025,99-030,0.0105464
2023-12-24-20:29:31.237,912810RZ3,99-026,99-031,0.00808684
2023-12-24-20:29:31.242,912810RZ3,99-027,99-032,0.0116464
2023-12-24-20:29:31.258,912810RZ3,99-030,99-033,0.00812771
2023-12-24-20:29:31.264,912810RZ3,99-031,99-03+,0.00821503
2023-12-24-20:29:31.281,912810RZ3,99-032,99-035,0.0136916
2023-12-24-20:29:31.299,912810RZ3,99-033,99-036,0.0151039
2023-12-24-20:29:31.315,912810RZ3,99-03+,99-037,0.00877109
2023-12-24-20:29:31.331,912810RZ3,99-035,99-040,0.00969649
2023-12-24-20:29:31.345,912810RZ3,99-036,99-041,0.00944001
2023-12-24-20:29:31.362,912810RZ3,99-037,99-042,0.0143713
2023-12-24-20:29:31.379,912810RZ3,99-040,99-043,0.0117434
2023-12-24-20:29:31.391,912810RZ3,99-041,99-04+,0.0118021
2023-12-24-20:29:31.407,912810RZ3,99-042,99-045,0.0129599
2023-12-24-20:29:31.427,912810RZ3,99-043,99-046,0.0123399
2023-12-24-20:29:31.429,912810RZ3,99-04+,99-047,0.00964546
2023-12-24-20:29:31.432,912810RZ3,99-045,99-050,0.0133318
2023-12-24-20:29:31.447,912810RZ3,99-046,99-051,0.0117352
2023-12-24-20:29:31.460,912810RZ3,99-047,99-052,0.0116001
2023-12-24-20:29:31.463,912810RZ3,99-050,99-053,0.0154909
2023-12-24-20:29:31.482,912810RZ3,99-051,99-05+,0.0122519
2023-12-24-20:29:31.496,912810RZ3,99-052,99-055,0.0110893
2023-12-24-20:29:31.509,912810RZ3,99-053,99-056,0.00936089
2023-12-24-20:29:31.529,912810RZ3,99-05+,99-057,0.00826439
2023-12-24-20:29:31.545,912810RZ3,99-055,99-060,0.0151812
2023-12-24-20:29:31.548,912810RZ3,99-056,99-061,0.0150446
2023-12-24-20:29:31.567,912810RZ3,99-057,99-062,0.0104644
